cluster_type,cluster_id,size,addresses,pattern,risk_score
temporal,0,22,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x24b87355015378d5b897033314c506e6447c55fc,0x8155694421f412f57dd5436b820ffcb10df89102,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x99c47bcdbd65654135580b53df5019886d614557,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,220
temporal,1,11,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x24b87355015378d5b897033314c506e6447c55fc,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x8155694421f412f57dd5436b820ffcb10df89102,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,110
temporal,2,10,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xaceae6296ce9e4f655487522217a7f6fdc830245,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xe2464094bfb1930c0ca5a3901684f26abe83975e",,100
temporal,3,17,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x24b87355015378d5b897033314c506e6447c55fc,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x8155694421f412f57dd5436b820ffcb10df89102,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,170
temporal,4,14,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,140
temporal,5,15,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0xcfa64eab2256602137e9144aca2b6eb0c8584991,0xaceae6296ce9e4f655487522217a7f6fdc830245,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x24b87355015378d5b897033314c506e6447c55fc",,150
temporal,6,20,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x24b87355015378d5b897033314c506e6447c55fc,0x8155694421f412f57dd5436b820ffcb10df89102,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x99c47bcdbd65654135580b53df5019886d614557,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,200
temporal,7,19,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x24b87355015378d5b897033314c506e6447c55fc,0x8155694421f412f57dd5436b820ffcb10df89102,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x99c47bcdbd65654135580b53df5019886d614557,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,190
temporal,8,18,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x24b87355015378d5b897033314c506e6447c55fc,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,180
temporal,9,18,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xe335af250085414f983b793c70aa93b5dfe6107d,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x24b87355015378d5b897033314c506e6447c55fc,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,180
